,Cost,Cured,IndefiniteControl,InitialTumourSize,NCycles,RelTimeGained,SFrac,TimeGained,TimeToFailure,TreatmentBranch,Turnover
1,0.15000000000000002,False,False,0.25,0.0,0.0,0.9,0.0,183.16161616161617,0.5,0.2
0,0.2,False,False,0.25,,,0.9,,198.989898989899,MTD,0.2
1,0.2,False,False,0.25,0.0,0.0,0.9,0.0,198.989898989899,0.5,0.2
0,0.25,False,False,0.25,,,0.9,,217.68686868686868,MTD,0.2
1,0.25,False,False,0.25,1.0,0.026959305832675962,0.9,5.868686868686865,223.55555555555554,0.5,0.2
0,0.30000000000000004,False,False,0.25,,,0.9,,240.1818181818182,MTD,0.2
1,0.30000000000000004,False,False,0.25,1.0,0.049583648750946244,0.9,11.909090909090907,252.0909090909091,0.5,0.2
0,0.35000000000000003,False,False,0.25,,,0.9,,267.8181818181818,MTD,0.2
1,0.35000000000000003,False,False,0.25,1.0,0.06147695557064198,0.9,16.464646464646478,284.2828282828283,0.5,0.2
0,0.4,False,False,0.25,,,0.9,,302.7070707070707,MTD,0.2
1,0.4,False,False,0.25,1.0,0.06643753336892677,0.9,20.111111111111086,322.8181818181818,0.5,0.2
0,0.45,False,False,0.25,,,0.9,,348.3131313131313,MTD,0.2
1,0.45,False,False,0.25,1.0,0.06609053736623845,0.9,23.02020202020202,371.3333333333333,0.5,0.2
0,0.5,False,False,0.25,,,0.9,,410.75757575757575,MTD,0.2
1,0.5,False,False,0.25,2.0,0.11351284888724952,0.9,46.626262626262644,457.3838383838384,0.5,0.2
0,0.0,False,False,0.25,,,0.9,,160.0909090909091,MTD,0.25
1,0.0,False,False,0.25,0.0,0.0,0.9,0.0,160.0909090909091,0.5,0.25
0,0.05,False,False,0.25,,,0.9,,172.07070707070707,MTD,0.25
1,0.05,False,False,0.25,0.0,0.0,0.9,0.0,172.07070707070707,0.5,0.25
0,0.1,False,False,0.25,,,0.9,,185.8989898989899,MTD,0.25
1,0.1,False,False,0.25,0.0,0.0,0.9,0.0,185.8989898989899,0.5,0.25
0,0.15000000000000002,False,False,0.25,,,0.9,,202.06060606060606,MTD,0.25
1,0.15000000000000002,False,False,0.25,1.0,0.02744451109778038,0.9,5.5454545454545325,207.6060606060606,0.5,0.25
0,0.2,False,False,0.25,,,0.9,,221.22222222222223,MTD,0.25
1,0.2,False,False,0.25,1.0,0.052280717775443984,0.9,11.565656565656553,232.78787878787878,0.5,0.25
0,0.25,False,False,0.25,,,0.9,,244.37373737373738,MTD,0.25
1,0.25,False,False,0.25,1.0,0.0660108295788038,0.9,16.131313131313135,260.5050505050505,0.5,0.25
0,0.30000000000000004,False,False,0.25,,,0.9,,272.979797979798,MTD,0.25
1,0.30000000000000004,False,False,0.25,1.0,0.07289546716003699,0.9,19.898989898989896,292.8787878787879,0.5,0.25
0,0.35000000000000003,False,False,0.25,,,0.9,,309.35353535353534,MTD,0.25
1,0.35000000000000003,False,False,0.25,1.0,0.07601384444589579,0.9,23.515151515151558,332.8686868686869,0.5,0.25
0,0.4,False,False,0.25,,,0.9,,357.3131313131313,MTD,0.25
1,0.4,False,False,0.25,1.0,0.0728218465539662,0.9,26.02020202020202,383.3333333333333,0.5,0.25
0,0.45,False,False,0.25,,,0.9,,423.80808080808083,MTD,0.25
1,0.45,False,False,0.25,2.0,0.13285029911576127,0.9,56.303030303030255,480.1111111111111,0.5,0.25
0,0.5,False,False,0.25,,,0.9,,522.7474747474747,MTD,0.25
1,0.5,False,False,0.25,2.0,0.12351213479672288,0.9,64.56565656565658,587.3131313131313,0.5,0.25
0,0.0,False,False,0.25,,,0.9,,174.42424242424244,MTD,0.30000000000000004
1,0.0,False,False,0.25,0.0,0.0,0.9,0.0,174.42424242424244,0.5,0.30000000000000004
0,0.05,False,False,0.25,,,0.9,,188.5252525252525,MTD,0.30000000000000004
1,0.05,False,False,0.25,1.0,0.028236176596656715,0.9,5.323232323232332,193.84848484848484,0.5,0.30000000000000004
0,0.1,False,False,0.25,,,0.9,,205.06060606060606,MTD,0.30000000000000004
1,0.1,False,False,0.25,1.0,0.054283040244322955,0.9,11.131313131313135,216.1919191919192,0.5,0.30000000000000004
0,0.15000000000000002,False,False,0.25,,,0.9,,224.73737373737373,MTD,0.30000000000000004
1,0.15000000000000002,False,False,0.25,1.0,0.07025034833026202,0.9,15.787878787878782,240.5252525252525,0.5,0.30000000000000004
0,0.2,False,False,0.25,,,0.9,,248.62626262626262,MTD,0.30000000000000004
1,0.2,False,False,0.25,1.0,0.07938571544649395,0.9,19.73737373737376,268.3636363636364,0.5,0.30000000000000004
0,0.25,False,False,0.25,,,0.9,,278.32323232323233,MTD,0.30000000000000004
1,0.25,False,False,0.25,1.0,0.08434347100239524,0.9,23.47474747474746,301.7979797979798,0.5,0.30000000000000004
0,0.30000000000000004,False,False,0.25,,,0.9,,316.3636363636364,MTD,0.30000000000000004
1,0.30000000000000004,False,False,0.25,1.0,0.08432311621966791,0.9,26.676767676767668,343.04040404040404,0.5,0.30000000000000004
0,0.35000000000000003,False,False,0.25,,,0.9,,367.04040404040404,MTD,0.30000000000000004
1,0.35000000000000003,False,False,0.25,2.0,0.13732559099540417,0.9,50.404040404040416,417.44444444444446,0.5,0.30000000000000004
0,0.4,False,False,0.25,,,0.9,,438.2929292929293,MTD,0.30000000000000004
1,0.4,False,False,0.25,2.0,0.14622848056048496,0.9,64.09090909090912,502.3838383838384,0.5,0.30000000000000004
0,0.45,False,False,0.25,,,0.9,,546.7979797979798,MTD,0.30000000000000004
1,0.45,False,False,0.25,3.0,0.19634973121755678,0.9,107.36363636363637,654.1616161616162,0.5,0.30000000000000004
0,0.5,False,False,0.25,,,0.9,,735.9494949494949,MTD,0.30000000000000004
1,0.5,False,False,0.25,4.0,0.23747237815506667,0.9,174.7676767676768,910.7171717171717,0.5,0.30000000000000004
0,0.0,False,False,0.25,,,0.9,,191.1010101010101,MTD,0.35000000000000003
1,0.0,False,False,0.25,1.0,0.05518262064591145,0.9,10.545454545454533,201.64646464646464,0.5,0.35000000000000003
0,0.05,False,False,0.25,,,0.9,,208.04040404040404,MTD,0.35000000000000003
1,0.05,False,False,0.25,1.0,0.07214993202563605,0.9,15.01010101010101,223.05050505050505,0.5,0.35000000000000003
0,0.1,False,False,0.25,,,0.9,,228.3030303030303,MTD,0.35000000000000003
1,0.1,False,False,0.25,1.0,0.08322272365277408,0.9,19.0,247.3030303030303,0.5,0.35000000000000003
0,0.15000000000000002,False,False,0.25,,,0.9,,253.02020202020202,MTD,0.35000000000000003
1,0.15000000000000002,False,False,0.25,1.0,0.08994371032775757,0.9,22.75757575757575,275.77777777777777,0.5,0.35000000000000003
0,0.2,False,False,0.25,,,0.9,,283.92929292929296,MTD,0.35000000000000003
1,0.2,False,False,0.25,1.0,0.09345761144117537,0.9,26.535353535353522,310.4646464646465,0.5,0.35000000000000003
0,0.25,False,False,0.25,,,0.9,,323.8686868686869,MTD,0.35000000000000003
1,0.25,False,False,0.25,1.0,0.09191279668153311,0.9,29.767676767676733,353.6363636363636,0.5,0.35000000000000003
0,0.30000000000000004,False,False,0.25,,,0.9,,377.67676767676767,MTD,0.35000000000000003
1,0.30000000000000004,False,False,0.25,2.0,0.1604439689756619,0.9,60.595959595959584,438.27272727272725,0.5,0.35000000000000003
0,0.35000000000000003,False,False,0.25,,,0.9,,454.65656565656565,MTD,0.35000000000000003
1,0.35000000000000003,False,False,0.25,2.0,0.1603385839017129,0.9,72.8989898989899,527.5555555555555,0.5,0.35000000000000003
0,0.4,False,False,0.25,,,0.9,,575.4444444444445,MTD,0.35000000000000003
1,0.4,False,False,0.25,3.0,0.21710052835752783,0.9,124.92929292929296,700.3737373737374,0.5,0.35000000000000003
0,0.45,False,False,0.25,,,0.9,,801.8484848484849,MTD,0.35000000000000003
1,0.45,False,False,0.25,4.0,0.24952445737752416,0.9,200.08080808080808,1001.929292929293,0.5,0.35000000000000003
0,0.5,False,True,0.25,,,0.9,,,MTD,0.35000000000000003
1,0.5,False,True,0.25,,,0.9,,,0.5,0.35000000000000003
0,0.0,False,False,0.25,,,0.9,,211.07070707070707,MTD,0.4
1,0.0,False,False,0.25,1.0,0.08819869831546702,0.9,18.616161616161605,229.68686868686868,0.5,0.4
0,0.05,False,False,0.25,,,0.9,,231.96969696969697,MTD,0.4
1,0.05,False,False,0.25,1.0,0.09688656651426089,0.9,22.47474747474749,254.44444444444446,0.5,0.4
0,0.1,False,False,0.25,,,0.9,,257.6060606060606,MTD,0.4
1,0.1,False,False,0.25,1.0,0.10198800141159854,0.9,26.272727272727252,283.8787878787879,0.5,0.4
0,0.15000000000000002,False,False,0.25,,,0.9,,289.8989898989899,MTD,0.4
1,0.15000000000000002,False,False,0.25,1.0,0.1017770034843206,0.9,29.50505050505052,319.4040404040404,0.5,0.4
0,0.2,False,False,0.25,,,0.9,,332.0,MTD,0.4
